RecNo.,Time,Pressure1,Pressure2,Temp.1,Temp.2,Temp. 3,Temp. 4
No.   ,sec,kgf/§²,kgf/§²,¡É,¡É,¡É,¡É
       335,     20100,     33.19,      0.00,     77.60,      0.00,      0.00,      0.00
       336,     20160,     33.19,      0.00,     77.60,      0.00,      0.00,      0.00
       337,     20220,     33.16,      0.00,     77.10,      0.00,      0.00,      0.00
       338,     20280,     33.18,      0.00,     76.60,      0.00,      0.00,      0.00
       339,     20340,     33.17,      0.00,     76.70,      0.00,      0.00,      0.00
       340,     20400,     33.15,      0.00,     76.70,      0.00,      0.00,      0.00
       341,     20460,     33.16,      0.00,     76.50,      0.00,      0.00,      0.00
       342,     20520,     33.15,      0.00,     76.10,      0.00,      0.00,      0.00
       343,     20580,     33.14,      0.00,     75.90,      0.00,      0.00,      0.00
       344,     20640,     33.12,      0.00,     75.60,      0.00,      0.00,      0.00
       345,     20700,     33.12,      0.00,     75.60,      0.00,      0.00,      0.00
       346,     20760,     33.15,      0.00,     75.50,      0.00,      0.00,      0.00
       347,     20820,     33.12,      0.00,     75.00,      0.00,      0.00,      0.00
       348,     20880,     33.09,      0.00,     74.50,      0.00,      0.00,      0.00
       349,     20940,     33.08,      0.00,     74.40,      0.00,      0.00,      0.00
       350,     21000,     33.09,      0.00,     74.50,      0.00,      0.00,      0.00
       351,     21060,     33.09,      0.00,     74.40,      0.00,      0.00,      0.00
       352,     21120,     33.09,      0.00,     74.10,      0.00,      0.00,      0.00
       353,     21180,     33.07,      0.00,     73.50,      0.00,      0.00,      0.00
       354,     21240,     33.07,      0.00,     73.50,      0.00,      0.00,      0.00
       355,     21300,     33.06,      0.00,     73.50,      0.00,      0.00,      0.00
       356,     21360,     33.06,      0.00,     73.50,      0.00,      0.00,      0.00
       357,     21420,     33.05,      0.00,     73.20,      0.00,      0.00,      0.00
       358,     21480,     33.04,      0.00,     73.10,      0.00,      0.00,      0.00
       359,     21540,     33.05,      0.00,     73.10,      0.00,      0.00,      0.00
       360,     21600,     33.03,      0.00,     72.90,      0.00,      0.00,      0.00
       361,     21660,     33.03,      0.00,     72.70,      0.00,      0.00,      0.00
       362,     21720,     33.02,      0.00,     72.40,      0.00,      0.00,      0.00
       363,     21780,     33.01,      0.00,     71.70,      0.00,      0.00,      0.00
       364,     21840,     33.00,      0.00,     71.10,      0.00,      0.00,      0.00
       365,     21900,     33.00,      0.00,     71.40,      0.00,      0.00,      0.00
       366,     21960,     32.99,      0.00,     71.30,      0.00,      0.00,      0.00
       367,     22020,     32.99,      0.00,     71.40,      0.00,      0.00,      0.00
       368,     22080,     32.99,      0.00,     70.70,      0.00,      0.00,      0.00
       369,     22140,     32.99,      0.00,     70.70,      0.00,      0.00,      0.00
       370,     22200,     32.97,      0.00,     70.70,      0.00,      0.00,      0.00
       371,     22260,     32.97,      0.00,     70.80,      0.00,      0.00,      0.00
